,Country Name,Country Code,Year,Number of Arrivals,Outbound Visitor Expenditure (current US$),Number of Departures,Inbound Visitor Expenditures (current US$)
344,Cambodia,KHM,2013,4210000.0,469000000.0,872000.0,2895000000.0
345,South Korea,KOR,2013,12176000.0,24459000000.0,14846000.0,19457000000.0
346,Kuwait,KWT,2013,6217000.0,10567000000.0,,619000000.0
347,Laos,LAO,2013,3779000.0,907000000.0,2857000.0,613000000.0
348,Lithuania,LTU,2013,5264000.0,,4228000.0,
349,Latvia,LVA,2013,5822000.0,,1776000.0,
350,Macao,MAC,2013,29325000.0,1239000000.0,1446000.0,43755000000.0
351,Morocco,MAR,2013,10349000.0,2002000000.0,2195000.0,8201000000.0
352,Mexico,MEX,2013,78100000.0,11970000000.0,90787000.0,14311000000.0
353,Malta,MLT,2013,2013000.0,,404000.0,
354,Myanmar,MMR,2013,2044000.0,131000000.0,,964000000.0
355,Montenegro,MNE,2013,1324000.0,81000000.0,,929000000.0
356,Malaysia,MYS,2013,25715000.0,13377000000.0,,23283000000.0
357,Netherlands,NLD,2013,12783000.0,21009000000.0,18094000.0,19429000000.0
358,Norway,NOR,2013,4778000.0,20116000000.0,9280000.0,7175000000.0
359,New Zealand,NZL,2013,2710000.0,3861000000.0,2197000.0,7434000000.0
360,Oman,OMN,2013,1923000.0,1824000000.0,4301000.0,1888000000.0
361,Panama,PAN,2013,2202000.0,1078000000.0,619000.0,5419000000.0
362,Peru,PER,2013,4010000.0,2105000000.0,2364000.0,3916000000.0
363,Philippines,PHL,2013,4681000.0,8400000000.0,,5599000000.0
364,Poland,POL,2013,72310000.0,8916000000.0,52580000.0,12242000000.0
365,Puerto Rico,PRI,2013,4210000.0,1142000000.0,839000.0,3311000000.0
366,Portugal,PRT,2013,9177000.0,4882000000.0,1490000.0,16080000000.0
367,Paraguay,PRY,2013,3538000.0,425000000.0,440000.0,299000000.0
368,Qatar,QAT,2013,2612000.0,11729000000.0,,8452000000.0
369,Romania,ROU,2013,8019000.0,2125000000.0,11364000.0,2307000000.0
370,Russia,RUS,2013,30792000.0,59504000000.0,54069000.0,20198000000.0
371,Saudi Arabia,SAU,2013,19934000.0,18648000000.0,22535457.03125,8690000000.0
372,Singapore,SGP,2013,15568000.0,24407000000.0,8647000.0,19231000000.0
373,El Salvador,SLV,2013,1822000.0,270000000.0,1515000.0,1054000000.0
374,Slovenia,SVN,2013,2502000.0,1559000000.0,4440000.0,2966000000.0
375,Sweden,SWE,2013,10980000.0,,,
376,Thailand,THA,2013,26547000.0,8238000000.0,5970000.0,41765000000.0
377,Tunisia,TUN,2013,7352000.0,768000000.0,2873000.0,2863000000.0
378,Turkiye,TUR,2013,39861000.0,5017000000.0,7526000.0,37984000000.0
379,Ukraine,UKR,2013,26025000.0,6300000000.0,23988000.0,5931000000.0
380,Uruguay,URY,2013,3242000.0,1486000000.0,2281000.0,2481000000.0
381,United States of America,USA,2013,179309906.25,132322000000.0,118968000.0,213105000000.0
382,Uzbekistan,UZB,2013,1969000.0,,3117000.0,
383,Virgin Islands (U.S.),VIR,2013,2702000.0,,,1168000000.0
384,Vietnam,VNM,2013,7572000.0,2050000000.0,,7250000000.0
385,South Africa,ZAF,2013,14318000.0,6491000000.0,,10468000000.0
386,Zimbabwe,ZWE,2013,1833000.0,441000000.0,2946000.0,183000000.0
387,Albania,ALB,2014,3673000.0,1689000000.0,4146000.0,1849000000.0
388,Andorra,AND,2014,7797000.0,,,
390,Argentina,ARG,2014,7165000.0,7837000000.0,10022000.0,5645000000.0
391,Australia,AUS,2014,6922000.0,35666000000.0,9480000.0,35736000000.0
392,Austria,AUT,2014,25291000.0,,10994000.0,
393,Azerbaijan,AZE,2014,2298000.0,3163000000.0,4244000.0,2713000000.0
394,Belgium,BEL,2014,7887000.0,26444000000.0,10991000.0,15249000000.0
395,Bulgaria,BGR,2014,9409000.0,1459000000.0,4158000.0,4518000000.0
396,Bahrain,BHR,2014,10452000.0,758000000.0,,1913000000.0
397,Bahamas,BHS,2014,6320000.0,328000000.0,,2336000000.0
398,Belarus,BLR,2014,5375000.0,1308000000.0,7236000.0,1230000000.0
399,Brazil,BRA,2014,6430000.0,29998000000.0,9617000.0,7405000000.0
400,Canada,CAN,2014,25558000.0,,63737000.0,
401,Switzerland,CHE,2014,9158000.0,20853000000.0,19833000.0,21358000000.0
402,Chile,CHL,2014,4601000.0,2707000000.0,3842000.0,3202000000.0
403,China,CHN,2014,128499000.0,,116593000.0,
404,Côte d'Ivoire,CIV,2014,471000.0,625000000.0,,195000000.0
405,Colombia,COL,2014,2866000.0,5299000000.0,3911000.0,4941000000.0
406,Costa Rica,CRI,2014,2760000.0,657000000.0,798000.0,3137000000.0
407,Cuba,CUB,2014,3014000.0,,355000.0,2546000000.0
408,Cayman Is.,CYM,2014,1993000.0,168000000.0,,565000000.0
409,Cyprus,CYP,2014,2558000.0,1343000000.0,1209000.0,2924000000.0
410,Czechia,CZE,2014,27166000.0,5173000000.0,5651000.0,7614000000.0
411,Germany,DEU,2014,32999000.0,101737000000.0,83008000.0,58721000000.0
412,Denmark,DNK,2014,28070000.0,10443000000.0,8528000.0,7617000000.0
413,Dominican Rep.,DOM,2014,5576000.0,717000000.0,427000.0,5630000000.0
414,Algeria,DZA,2014,2301000.0,679000000.0,2839000.0,316000000.0
415,Ecuador,ECU,2014,1695000.0,990000000.0,1096000.0,1487000000.0
416,Egypt,EGY,2014,9878000.0,3486000000.0,6180000.0,7979000000.0
417,Spain,ESP,2014,107144000.0,,13952000.0,
418,Estonia,EST,2014,5804000.0,1346000000.0,1426000.0,2278000000.0
419,Finland,FIN,2014,2731000.0,6326000000.0,9783000.0,5409000000.0
420,France,FRA,2014,206599000.0,58464000000.0,31941000.0,67402000000.0
421,United Kingdom,GBR,2014,35337000.0,,72204000.0,
422,Georgia,GEO,2014,5004000.0,563000000.0,3106000.0,1972000000.0
423,Greece,GRC,2014,24272000.0,4003000000.0,5802000.0,19489000000.0
424,Guatemala,GTM,2014,1739000.0,1029000000.0,992000.0,1164400024.41406
425,Hong Kong,HKG,2014,60839000.0,22011000000.0,84519000.0,46352000000.0
426,Honduras,HND,2014,2082000.0,437000000.0,1065000.0,706000000.0
427,Croatia,HRV,2014,51168000.0,865000000.0,4638000.0,10079000000.0
428,Hungary,HUN,2014,45984000.0,2712000000.0,16340000.0,7483000000.0
429,Indonesia,IDN,2014,9435000.0,10263000000.0,8074000.0,11567000000.0
430,India,IND,2014,13107000.0,17492000000.0,18330000.0,20756000000.0
431,Ireland,IRL,2014,8813000.0,6412000000.0,6676000.0,11101000000.0
432,"Iran, Islamic Rep.",IRN,2014,4968000.0,10130000000.0,7698000.0,4197000000.0
433,Iceland,ISL,2014,1102000.0,,400000.0,
434,Israel,ISR,2014,3251000.0,6534000000.0,5181000.0,6616000000.0
435,Italy,ITA,2014,77694000.0,,55169000.0,
436,Jamaica,JAM,2014,3504000.0,457000000.0,,
437,Jordan,JOR,2014,5327000.0,1251000000.0,1230000.0,5518000000.0
438,Japan,JPN,2014,13413000.0,28609000000.0,16903000.0,20790000000.0
439,Kazakhstan,KAZ,2014,6333000.0,3771000000.0,10450000.0,2239000000.0
440,Kyrgyzstan,KGZ,2014,3791000.0,568000000.0,3790000.0,468000000.0
441,Cambodia,KHM,2014,4503000.0,527000000.0,956000.0,3220000000.0
442,South Korea,KOR,2014,14202000.0,26136000000.0,16081000.0,22390000000.0
443,Kuwait,KWT,2014,6528000.0,12280000000.0,,615000000.0
444,Laos,LAO,2014,4159000.0,1054000000.0,3320000.0,642400024.414063
445,Lithuania,LTU,2014,5217000.0,,4292000.0,
446,Latvia,LVA,2014,6246000.0,,1846000.0,
447,Macao,MAC,2014,31526000.0,1385000000.0,1537000.0,43412000000.0
448,Morocco,MAR,2014,10507000.0,2273000000.0,1850000.0,9070000000.0
449,Mexico,MEX,2014,81042000.0,12556000000.0,90982000.0,16606000000.0
450,Malta,MLT,2014,2162000.0,,430000.0,
451,Myanmar,MMR,2014,3081000.0,119000000.0,,1687000000.0
452,Montenegro,MNE,2014,1350000.0,79000000.0,,959000000.0
453,Malaysia,MYS,2014,27437000.0,13893000000.0,,24469000000.0
454,Netherlands,NLD,2014,13925000.0,23655000000.0,17928000.0,19669000000.0
455,Norway,NOR,2014,4855000.0,20166000000.0,9190000.0,7503000000.0
456,New Zealand,NZL,2014,2854000.0,4108000000.0,2276000.0,8582000000.0
457,Oman,OMN,2014,2225000.0,2081000000.0,4727000.0,1971000000.0
458,Panama,PAN,2014,2305000.0,1147000000.0,853000.0,5749000000.0
459,Peru,PER,2014,4062000.0,2118000000.0,2442000.0,3907000000.0
460,Philippines,PHL,2014,4833000.0,11130000000.0,3488000.0,6059000000.0
461,Poland,POL,2014,73750000.0,9177000000.0,35400000.0,12691000000.0
462,Puerto Rico,PRI,2014,4456000.0,1094000000.0,793000.0,3439000000.0
463,Portugal,PRT,2014,10497000.0,5213000000.0,1502000.0,17577000000.0
464,Paraguay,PRY,2014,3455000.0,448000000.0,426000.0,314000000.0
465,Qatar,QAT,2014,2839000.0,12871000000.0,,10576000000.0
466,Romania,ROU,2014,8442000.0,2741000000.0,12299000.0,2388000000.0
467,Russia,RUS,2014,32421000.0,55383000000.0,45889000.0,19451000000.0
468,Saudi Arabia,SAU,2014,23010000.0,25137000000.0,22322601.5625,9263000000.0
469,Singapore,SGP,2014,15095000.0,25547000000.0,8903000.0,19161000000.0
470,El Salvador,SLV,2014,1886000.0,277000000.0,1515000.0,1285000000.0
471,Slovenia,SVN,2014,2675000.0,1646000000.0,4672000.0,3052000000.0
472,Sweden,SWE,2014,10522000.0,,,
473,Thailand,THA,2014,24810000.0,8824000000.0,6444000.0,38451000000.0
474,Tunisia,TUN,2014,7163000.0,770000000.0,2637000.0,3042000000.0
475,Turkiye,TUR,2014,41627000.0,5331000000.0,7982000.0,40028000000.0
476,Ukraine,UKR,2014,13227000.0,5470000000.0,22637000.0,2264000000.0
477,Uruguay,URY,2014,3195000.0,1559000000.0,2396000.0,2341000000.0
478,United States of America,USA,2014,178311359.375,140228000000.0,121699000.0,222746000000.0
479,Uzbekistan,UZB,2014,1862000.0,1509000000.0,2786000.0,660000000.0
480,Virgin Islands (U.S.),VIR,2014,2814000.0,,,1319000000.0
481,Vietnam,VNM,2014,7874000.0,2650000000.0,,7410000000.0
482,South Africa,ZAF,2014,14530000.0,6314000000.0,,10484000000.0
483,Zimbabwe,ZWE,2014,1880000.0,451000000.0,3182000.0,186000000.0
484,Albania,ALB,2015,4131000.0,1311000000.0,4504000.0,1613000000.0
485,Andorra,AND,2015,7850000.0,,,
487,United Arab Emirates,ARE,2015,19313000.0,16637099609.375,17890000.0,25587099609.375
488,Argentina,ARG,2015,6816000.0,9348000000.0,13159000.0,5441000000.0
489,Australia,AUS,2015,7449000.0,34071000000.0,9810000.0,36249000000.0
490,Austria,AUT,2015,26728000.0,11337000000.0,10628000.0,20422000000.0
491,Azerbaijan,AZE,2015,2006000.0,2743000000.0,4096000.0,2535000000.0
492,Belgium,BEL,2015,8355000.0,15856000000.0,10835000.0,8975000000.0
493,Bulgaria,BGR,2015,9317000.0,1346000000.0,4632000.0,3568000000.0
494,Bahrain,BHR,2015,9670000.0,4939000000.0,4741000.0,2827000000.0
495,Bahamas,BHS,2015,6112000.0,347000000.0,,2554000000.0
496,Belarus,BLR,2015,4386000.0,997000000.0,6972000.0,1013000000.0
497,Brazil,BRA,2015,6306000.0,20356000000.0,9478000.0,6254000000.0
498,Canada,CAN,2015,27555000.0,,55971000.0,
499,Switzerland,CHE,2015,9305000.0,19675000000.0,22086000.0,20140000000.0
500,Chile,CHL,2015,5487000.0,2518000000.0,4103000.0,3412000000.0
501,China,CHN,2015,133820000.0,,127860000.0,
502,Côte d'Ivoire,CIV,2015,1441000.0,560000000.0,,214000000.0
503,Colombia,COL,2015,3371000.0,4890000000.0,3862000.0,5281000000.0
504,Costa Rica,CRI,2015,2899000.0,898000000.0,919000.0,3408000000.0
505,Cuba,CUB,2015,3540000.0,,580000.0,2819000000.0
506,Cayman Is.,CYM,2015,2102000.0,191000000.0,,680000000.0
507,Cyprus,CYP,2015,2780000.0,1453000000.0,1119000.0,2525664306.64063
508,Czechia,CZE,2015,29604000.0,4819000000.0,5856000.0,6766000000.0
509,Germany,DEU,2015,34970000.0,85334000000.0,83737000.0,50669000000.0
510,Denmark,DNK,2015,28209000.0,8918000000.0,8991000.0,6685000000.0
511,Dominican Rep.,DOM,2015,6129000.0,803000000.0,478000.0,6116000000.0
512,Algeria,DZA,2015,1710000.0,762000000.0,3638000.0,347000000.0
513,Ecuador,ECU,2015,1676000.0,994000000.0,1221000.0,1557000000.0
514,Egypt,EGY,2015,9328000.0,3636000000.0,,6897000000.0
515,Spain,ESP,2015,109834000.0,,17625000.0,
516,Estonia,EST,2015,5696000.0,1169000000.0,1250000.0,1893000000.0
517,Finland,FIN,2015,2622000.0,5786000000.0,10022000.0,4011000000.0
518,France,FRA,2015,203302000.0,47713000000.0,30608000.0,66441000000.0
519,United Kingdom,GBR,2015,36792000.0,,77619000.0,
520,Georgia,GEO,2015,5256000.0,609000000.0,3136000.0,2049000000.0
521,Greece,GRC,2015,26114000.0,3535000000.0,6291000.0,17547000000.0
522,Guatemala,GTM,2015,1865000.0,1020000000.0,1130000.0,1169500000.0
523,Hong Kong,HKG,2015,59308000.0,23059000000.0,89082000.0,42491000000.0
524,Honduras,HND,2015,2093000.0,454000000.0,1150000.0,671000000.0
525,Croatia,HRV,2015,55858000.0,770000000.0,4355000.0,8207000000.0
526,Hungary,HUN,2015,48345000.0,2456000000.0,17276000.0,6929000000.0
527,Indonesia,IDN,2015,10407000.0,9800000000.0,8176000.0,12054000000.0
528,India,IND,2015,13284000.0,17686000000.0,20376000.0,21472000000.0
529,Ireland,IRL,2015,9528000.0,5704000000.0,7094000.0,11476000000.0
530,"Iran, Islamic Rep.",IRN,2015,5237000.0,9658000000.0,6620000.0,4771000000.0
531,Iceland,ISL,2015,1389000.0,,450000.0,
532,Israel,ISR,2015,3109000.0,7506000000.0,5891000.0,6605000000.0
533,Italy,ITA,2015,81068000.0,30312000000.0,57418000.0,41415000000.0
534,Jamaica,JAM,2015,3692000.0,413000000.0,,
535,Jordan,JOR,2015,4809000.0,1267000000.0,,4968000000.0
536,Japan,JPN,2015,19737000.0,23252000000.0,16214000.0,27285000000.0
537,Kazakhstan,KAZ,2015,6430000.0,3046000000.0,11303000.0,1833000000.0
538,Kyrgyzstan,KGZ,2015,4000000.0,535000000.0,4008000.0,482000000.0
539,Cambodia,KHM,2015,4775000.0,641000000.0,1194000.0,3419000000.0
540,South Korea,KOR,2015,13232000.0,27957000000.0,19310000.0,18711000000.0
541,Kuwait,KWT,2015,6941000.0,13148000000.0,,931000000.0
542,Laos,LAO,2015,4684000.0,1002000000.0,3067000.0,725000000.0
543,Lithuania,LTU,2015,5048000.0,,3981000.0,
544,Latvia,LVA,2015,6842000.0,,1720000.0,
545,Macao,MAC,2015,30715000.0,1435000000.0,1466000.0,31620000000.0
546,Morocco,MAR,2015,10542000.0,2155000000.0,1910000.0,7765000000.0
547,Mexico,MEX,2015,87129000.0,12668000000.0,94988000.0,18729000000.0
548,Malta,MLT,2015,2383000.0,,456000.0,
549,Myanmar,MMR,2015,4681000.0,146000000.0,,2199000000.0
550,Montenegro,MNE,2015,1560000.0,69000000.0,,947000000.0
551,Malaysia,MYS,2015,25721000.0,11599000000.0,,19194000000.0
552,Netherlands,NLD,2015,15007000.0,20234000000.0,17535000.0,17558000000.0
553,Norway,NOR,2015,5361000.0,16485000000.0,8750000.0,6370000000.0
554,New Zealand,NZL,2015,3129000.0,3721000000.0,2412000.0,9464000000.0
555,Oman,OMN,2015,2634000.0,2208000000.0,5424000.0,2247000000.0
556,Panama,PAN,2015,2553000.0,1272000000.0,965000.0,5754000000.0
557,Peru,PER,2015,4381000.0,2539000000.0,2595000.0,4140000000.0
558,Philippines,PHL,2015,5361000.0,11868000000.0,5115000.0,6414000000.0
559,Poland,POL,2015,77743000.0,8285000000.0,44300000.0,11164000000.0
560,Puerto Rico,PRI,2015,5051000.0,983000000.0,746000.0,3825000000.0
561,Portugal,PRT,2015,11723000.0,4576000000.0,1893000.0,16007000000.0
562,Paraguay,PRY,2015,4102000.0,494000000.0,1008000.0,348000000.0
563,Qatar,QAT,2015,2941000.0,11641000000.0,,12131000000.0
564,Romania,ROU,2015,9331000.0,2526000000.0,13118000.0,2229000000.0
565,Russia,RUS,2015,33729000.0,38432000000.0,34550000.0,13186000000.0
566,Saudi Arabia,SAU,2015,21834000.0,20366000000.0,25054000.0,11183000000.0
567,Singapore,SGP,2015,15231500.0,23658000000.0,9125000.0,16617000000.0
568,El Salvador,SLV,2015,1973000.0,332000000.0,1618000.0,1203000000.0
569,Slovenia,SVN,2015,3022000.0,1370000000.0,4909000.0,2594000000.0
570,Sweden,SWE,2015,6482000.0,,,
571,Thailand,THA,2015,29923000.0,9539000000.0,6794000.0,44851000000.0
572,Tunisia,TUN,2015,5359000.0,767000000.0,,1869000000.0
573,Turkiye,TUR,2015,41114000.0,5635000000.0,8751000.0,35648000000.0
574,Ukraine,UKR,2015,13025000.0,5408000000.0,23336000.0,1662000000.0
575,Uruguay,URY,2015,3286000.0,1384000000.0,2217000.0,2349000000.0
576,United States of America,USA,2015,176864531.25,144669000000.0,130364000.0,230574000000.0
577,Uzbekistan,UZB,2015,1918000.0,1902000000.0,3491000.0,688000000.0
578,Virgin Islands (U.S.),VIR,2015,2643000.0,,,1324000000.0
579,Vietnam,VNM,2015,7944000.0,3595000000.0,,7350000000.0
580,South Africa,ZAF,2015,13952000.0,5734000000.0,,9140000000.0
581,Zimbabwe,ZWE,2015,2057000.0,557000000.0,3393000.0,191000000.0
582,Albania,ALB,2016,4736000.0,1338000000.0,4852000.0,1821000000.0
583,Andorra,AND,2016,8025000.0,,,
585,United Arab Emirates,ARE,2016,20894000.0,17127259765.625,18728000.0,28657400390.625
586,Argentina,ARG,2016,6668000.0,12273000000.0,18645000.0,5466000000.0
587,Australia,AUS,2016,8269000.0,35718000000.0,10390000.0,39059000000.0
588,Austria,AUT,2016,28121000.0,11634000000.0,11534000.0,20965000000.0
589,Azerbaijan,AZE,2016,2249000.0,2593000000.0,4282000.0,2855000000.0
590,Belgium,BEL,2016,7481000.0,16522000000.0,13372000.0,8784000000.0
591,Bulgaria,BGR,2016,10604000.0,1636000000.0,5392000.0,4148000000.0
592,Bahrain,BHR,2016,10158000.0,3267000000.0,3293000.0,4021000000.0
593,Bahamas,BHS,2016,6265000.0,440000000.0,,3091000000.0
594,Belarus,BLR,2016,10935000.0,891000000.0,8340000.0,1019000000.0
595,Brazil,BRA,2016,6547000.0,17068000000.0,8872000.0,6613000000.0
596,Brunei,BRN,2016,4257000.0,499000000.0,,144000000.0
597,Canada,CAN,2016,30142000.0,,52979000.0,
598,Switzerland,CHE,2016,10402000.0,19941000000.0,21536000.0,19787000000.0
599,Chile,CHL,2016,6712000.0,2733000000.0,4269000.0,3744000000.0
600,China,CHN,2016,141774000.0,,135130000.0,
601,Côte d'Ivoire,CIV,2016,1583000.0,491000000.0,,477000000.0
602,Colombia,COL,2016,3675000.0,4891000000.0,3795000.0,5631000000.0
603,Costa Rica,CRI,2016,3204000.0,1055000000.0,1036000.0,3776000000.0
604,Cuba,CUB,2016,4009000.0,,385000.0,3069000000.0
605,Cayman Is.,CYM,2016,2097000.0,194000000.0,,708000000.0
606,Cyprus,CYP,2016,3286000.0,1559318481.44531,1268000.0,2870000000.0
607,Czechia,CZE,2016,32519000.0,4962000000.0,6027000.0,7041000000.0
608,Germany,DEU,2016,35555000.0,87412000000.0,90966000.0,52234000000.0
609,Denmark,DNK,2016,28692000.0,9174000000.0,9651000.0,7494000000.0
610,Dominican Rep.,DOM,2016,6769000.0,882000000.0,500000.0,6720000000.0
611,Algeria,DZA,2016,2039000.0,556000000.0,4530000.0,246000000.0
612,Ecuador,ECU,2016,1569000.0,1454000000.0,1366000.0,1729000000.0
613,Egypt,EGY,2016,5399000.0,4351000000.0,,3306000000.0
614,Spain,ESP,2016,115561000.0,,18277000.0,
615,Estonia,EST,2016,5942000.0,1299000000.0,1339000.0,1911000000.0
616,Finland,FIN,2016,2789000.0,6199000000.0,10278000.0,4017000000.0
617,France,FRA,2016,203042000.0,49029000000.0,29636000.0,63557000000.0
618,United Kingdom,GBR,2016,39129000.0,,81757000.0,
619,Georgia,GEO,2016,5393000.0,706000000.0,3400000.0,2315000000.0
620,Greece,GRC,2016,28071000.0,3412000000.0,7235000.0,16811000000.0
621,Guatemala,GTM,2016,1906000.0,1032000000.0,1195000.0,1202699951.17188
622,Hong Kong,HKG,2016,56655000.0,24141000000.0,91758000.0,37838000000.0
623,Honduras,HND,2016,2228000.0,482000000.0,1121000.0,585000000.0
624,Croatia,HRV,2016,57587000.0,954000000.0,2581000.0,9215000000.0
625,Hungary,HUN,2016,52890000.0,2738000000.0,18895000.0,7481000000.0
626,Indonesia,IDN,2016,11519000.0,9932000000.0,8340000.0,12566000000.0
627,India,IND,2016,14570000.0,19184000000.0,21872000.0,23111000000.0
628,Ireland,IRL,2016,10100000.0,6234000000.0,7646000.0,12649000000.0
629,"Iran, Islamic Rep.",IRN,2016,4942000.0,11142000000.0,9007000.0,4634000000.0
630,Iceland,ISL,2016,1891000.0,,536000.0,
631,Israel,ISR,2016,3070000.0,8210000000.0,6781000.0,6616000000.0
632,Italy,ITA,2016,84925000.0,30584000000.0,57480000.0,42423000000.0
633,Jamaica,JAM,2016,3837000.0,413000000.0,,
634,Jordan,JOR,2016,4236000.0,1367000000.0,1511000.0,4943000000.0
635,Japan,JPN,2016,24039000.0,25968000000.0,17116000.0,33456000000.0
636,Kazakhstan,KAZ,2016,6509000.0,2580000000.0,9756000.0,2038000000.0
637,Kyrgyzstan,KGZ,2016,3853000.0,582000000.0,4185000.0,477000000.0
638,Cambodia,KHM,2016,5012000.0,762000000.0,1434000.0,3523000000.0
639,South Korea,KOR,2016,17242000.0,29817000000.0,22383000.0,20924000000.0
640,Kuwait,KWT,2016,7055000.0,13232000000.0,,831000000.0
641,Laos,LAO,2016,4239000.0,912099975.585938,3059000.0,717000000.0
642,Lithuania,LTU,2016,5322000.0,,4143000.0,
643,Latvia,LVA,2016,6797000.0,,1939000.0,
644,Macao,MAC,2016,30950000.0,1500000000.0,1251000.0,31155000000.0
645,Morocco,MAR,2016,10677000.0,2312000000.0,1864000.0,7922000000.0
646,Mexico,MEX,2016,94853000.0,12823000000.0,97372000.0,20619000000.0
647,Malta,MLT,2016,2592000.0,,550000.0,
648,Myanmar,MMR,2016,2907000.0,201000000.0,,2289000000.0
649,Montenegro,MNE,2016,1662000.0,91000000.0,,978000000.0
650,Malaysia,MYS,2016,26757000.0,11339000000.0,,19682000000.0
651,Netherlands,NLD,2016,15828000.0,20188800781.25,18152000.0,19421800781.25
652,Norway,NOR,2016,5960000.0,16384000000.0,8030000.0,6285000000.0
653,New Zealand,NZL,2016,3494000.0,4010000000.0,2611000.0,9773000000.0
654,Oman,OMN,2016,3207000.0,2643000000.0,5902000.0,2324000000.0
655,Panama,PAN,2016,2379000.0,1351000000.0,1051000.0,6283000000.0
656,Peru,PER,2016,4718000.0,2700000000.0,2751000.0,4288000000.0
657,Philippines,PHL,2016,5967000.0,11681000000.0,5703000.0,6289000000.0
658,Poland,POL,2016,80476000.0,8509000000.0,44500000.0,11922000000.0
659,Puerto Rico,PRI,2016,5003000.0,1059000000.0,789000.0,3974000000.0
660,Portugal,PRT,2016,13359000.0,4707000000.0,1941000.0,17347000000.0
661,Paraguay,PRY,2016,4318000.0,512000000.0,1503000.0,356000000.0
662,Qatar,QAT,2016,2938000.0,13152000000.0,,12593000000.0
663,Romania,ROU,2016,10223000.0,2910000000.0,16128000.0,2474000000.0
664,Russia,RUS,2016,24571000.0,27654000000.0,31659000.0,12822000000.0
665,Saudi Arabia,SAU,2016,20887000.0,17671000000.0,27618000.0,13438000000.0
666,Singapore,SGP,2016,16403000.0,23957000000.0,9474000.0,18944000000.0
667,El Salvador,SLV,2016,2052000.0,451000000.0,1804000.0,1161000000.0
668,Slovenia,SVN,2016,3397000.0,1483800048.82813,5408000.0,2717899902.34375
669,Sweden,SWE,2016,6782000.0,,,
670,Syrian Arab Republic,SYR,2016,1043000.0,,,
671,Thailand,THA,2016,32530000.0,11267000000.0,8204000.0,48459000000.0
672,Tunisia,TUN,2016,5724000.0,823000000.0,1830000.0,1706000000.0
673,Turkiye,TUR,2016,30907000.0,5698000000.0,7892000.0,26505000000.0
674,Ukraine,UKR,2016,13734000.0,6306000000.0,25226000.0,1723000000.0
675,Uruguay,URY,2016,3632000.0,1079000000.0,1715000.0,2396000000.0
676,United States of America,USA,2016,175261484.375,147640000000.0,141526000.0,228549000000.0
677,Uzbekistan,UZB,2016,2027000.0,1832000000.0,3848000.0,579000000.0
678,Virgin Islands (U.S.),VIR,2016,2574000.0,,,1343000000.0
